Country,ISO3,Region,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Canada,CAN,AME,77,12,2.796791,8,72.41326,81.58674,,79.2559,,89.67447,,71.02245,73.83723,,84.67139,76.7213,,64.14427,78.69818
United Kingdom,GBR,WE/EU,77,12,3.337237,8,71.52693,82.47307,,79.2559,,89.67447,,71.02245,78.8021,,84.67139,75.99789,,58.35728,80.49474
Hong Kong,HKG,AP,76,16,3.152059,8,70.83063,81.16937,,,,89.67447,,71.02245,81.54134,60.8368,75.96259,71.65746,,83.60959,73.3085
Belgium,BEL,WE/EU,75,17,1.094819,7,73.2045,76.7955,,79.2559,,72.20404,,71.02245,74.09402,,75.96259,77.4447,,,76.00334
Estonia,EST,WE/EU,74,18,1.209875,10,72.01581,75.98419,,79.2559,76.73018,72.20404,77.12929,71.02245,68.78675,,67.25381,75.27449,,74.31534,75.10506
Ireland,IRL,WE/EU,74,18,3.610982,7,68.07799,79.92201,,79.2559,,54.73361,,71.02245,84.28058,,75.96259,75.99789,,79.2255,
Japan,JPN,AP,73,20,3.510482,9,67.24281,78.75719,,52.64929,,72.20404,,71.02245,73.23801,79.97515,67.25381,73.10427,,91.85165,78.69818
United Arab Emirates,ARE,MENA,71,21,5.126294,8,62.59288,79.40712,,,56.7826,72.20404,,46.73721,89.33105,,67.25381,70.93406,,88.87048,74.20679
Uruguay,URY,AME,71,21,2.472212,7,66.94557,75.05443,,,76.73018,72.20404,,58.97113,,,75.96259,75.99789,,65.72254,71.51195
France,FRA,WE/EU,69,23,2.280289,8,65.26032,72.73968,,70.38703,,72.20404,,71.02245,78.11729,,67.25381,70.93406,,55.37611,69.71539
United States of America,USA,AME,69,23,4.115168,9,62.25113,75.74888,,70.38703,,89.67447,,71.02245,73.58042,47.68531,75.96259,70.93406,,53.09639,71.51195
Bhutan,BTN,AP,68,25,2.756646,4,63.4791,72.5209,,,68.75114,,,71.02245,,,,72.38087,60.10603,,
Chile,CHL,AME,67,26,2.552611,9,62.81372,71.18628,,61.51816,76.73018,72.20404,,58.97113,53.72092,,67.25381,75.27449,,68.70371,64.32571
Seychelles,SYC,SSA,66,27,3.396858,4,60.42915,71.57085,,,,72.20404,,71.02245,,,,64.42342,,57.48047,
Taiwan,TWN,AP,65,28,3.034662,8,60.02316,69.97684,,,76.73018,54.73361,,71.02245,66.81792,54.55549,58.54501,61.52979,,73.43852,
Bahamas,BHS,AME,64,29,5.825616,3,54.44599,73.55401,,,,,,58.97113,,,75.96259,,,,58.03777
Barbados,BRB,AME,62,30,6.05961,4,52.06224,71.93776,,,,,,71.02245,,,,71.65746,,45.73114,60.7326
Portugal,PRT,WE/EU,62,30,2.819093,8,57.37669,66.62331,,70.38703,,54.73361,,58.97113,50.63928,,67.25381,70.21066,,53.97321,67.02055
Qatar,QAT,MENA,62,30,7.997069,7,48.88481,75.1152,,,40.82453,72.20404,,46.73721,82.48296,,58.54501,38.38083,,92.20238,
Spain,ESP,WE/EU,62,30,3.166087,8,56.80762,67.19238,,70.38703,,54.73361,,58.97113,49.01285,,58.54501,75.27449,,56.77901,68.81711
Botswana,BWA,SSA,61,34,3.731927,7,54.87964,67.12036,,,60.77211,72.20404,,71.02245,,,54.19062,66.59363,,44.67896,57.13948
Brunei Darussalam,BRN,AP,60,35,6.118152,3,49.96623,70.03377,,,,,,71.02245,,,49.83622,,,59.93555,
Israel,ISR,MENA,60,35,1.989104,7,56.73787,63.26213,,61.51816,,54.73361,,58.97113,53.63532,,58.54501,67.31703,,66.24863,
Lithuania,LTU,WE/EU,60,35,2.319473,9,56.19606,63.80394,,61.51816,72.74066,54.73361,62.29226,58.97113,53.03611,,49.83622,65.87022,,58.18192,
Slovenia,SVN,WE/EU,60,35,2.283508,10,56.25505,63.74495,,61.51816,64.76163,54.73361,71.19448,71.02245,50.63928,,58.54501,61.52979,,51.34276,58.03777
"Korea, South",KOR,AP,59,39,2.438926,10,55.00016,62.99984,,61.51816,60.77211,54.73361,,58.97113,54.91934,46.80201,54.19062,70.93406,,54.49929,71.51195
Saint Vincent and the Grenadines,VCT,AME,59,39,4.14181,3,52.20743,65.79257,,,,,,58.97113,,,,,51.77465,,66.12228
Cabo Verde,CPV,SSA,58,41,4.298384,4,50.95065,65.04935,,,,,,58.97113,,,,67.31703,60.10603,46.60795,
Cyprus,CYP,WE/EU,58,41,3.413456,7,52.40193,63.59807,,43.78042,,72.20404,,58.97113,50.81048,,58.54501,63.70001,,58.00656,
Poland,POL,WE/EU,58,41,1.84505,10,54.97412,61.02588,,52.64929,56.7826,54.73361,62.29226,58.97113,59.96982,,51.22963,68.76384,,52.5703,65.224
Costa Rica,CRI,AME,56,44,3.971018,7,49.48753,62.51247,,,68.75114,54.73361,,46.73721,,,41.12743,65.87022,,49.76449,63.42744
Czech Republic,CZE,WE/EU,56,44,1.868036,10,52.93642,59.06358,,61.51816,56.7826,54.73361,62.29226,58.97113,48.41364,,46.87523,60.80639,,48.18622,58.93604
Georgia,GEO,ECA,56,44,3.835593,5,49.70963,62.29037,,,52.79308,,50.42263,46.73721,,,,68.04044,,,60.7326
